,field,acres,grower,crop_name_en,variety_name_en,season,totalN_per_ac,totalP_per_ac,totalK_per_ac,ammonia_lbN_per_ac,urea_lbN_per_ac,ammonium_nitrate_lbN_per_ac,ammonium_sulfate_lbN_per_ac,urea_ammonium_nitrate_solution_lbN_per_ac,monoammonium_phosphate_lbN_per_ac,diammonium_phosphate_lbN_per_ac,other_lbN_per_ac,monoammonium_phosphate_lbP_per_ac,diammonium_phosphate_lbP_per_ac,other_lbP_per_ac,potash_lbK_per_ac,other_lbK_per_ac,manure_lbN_per_ac,manure_lbP_per_ac,manure_lbK_per_ac,lime_per_ac,lat,long,yield_target,yield_bu_ac,county,state
0,4575649,62.33,3997379,"Wheat, Hard Winter",Grainfield,2026,3.36,11.22,,0,0,0,0,0,0,0,3.36,0,0,11.22,0,0,0,0,0,0,37.575,-99.779,,,Ford,Kansas
1,4196337,154.44,4003683,"Wheat, Hard Winter",,2023,58.95,26,,0,0,0,0,53.45,5.5,0,0,26,0,0,0,0,0,0,0,0,38.316,-99.193,,43,Pawnee,Kansas
2,4112300,55.81,3993784,Soybean,,2021,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.483,-97.259,,27,Marion,Kansas
3,4194418,67.02,3997369,"Wheat, Hard Winter",WB4792,2022,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.753,-99.315,,,Ellis,Kansas
4,4112538,11.16,3997363,Sorghum,,2023,205.38,147.55,0,0,172.04,0,0,0,28.82,0,4.52,136.25,0,11.3,0,0,0,0,0,0,37.543,-99.614,,102.68,Ford,Kansas
5,4555704,143.87,3976078,Fallow,,2025,48.03,5.38,0.67,0,0,0,0,46.01,0,0,2.02,0,0,5.38,0,0.67,0,0,0,0,39.079,-100.653,,,Gove,Kansas
6,4573436,22.74,4535501,Sorghum,85Y88,2025,11.64,39.59,,0,0,0,0,0,0,0,11.64,0,0,39.59,0,0,0,0,0,0,38.012,-98.03,99.99973452,,Reno,Kansas
7,4395513,51.66,4395191,"Wheat, Hard Winter",SY Wolverine,2025,5.82,19.8,,0,0,0,0,0,0,0,5.82,0,0,19.8,0,0,0,0,0,0,37.851,-99.974,49.99994161,82.24,Ford,Kansas
8,4113092,34.31,3997381,Sorghum,,2021,40.7,,,0,23,0,0,17.7,0,0,0,0,0,0,0,0,0,0,0,0,38.49,-99.728,,81.93,Ness,Kansas
9,4197035,21.72,3995799,Sorghum Sudangrass,,2021,51.06,23.92,,0,46,0,0,0,5.06,0,0,23.92,0,0,0,0,0,0,0,0,38.931,-98.029,,0,Lincoln,Kansas
10,4573003,36.24,4003717,Sorghum,742C,2025,99.82,,,0,99.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.433,-99.191,99.99988322,117.67,Rooks,Kansas
11,3978499,36.38,3976300,Sorghum,DKS44-07,2024,74.82,19.8,,0,69,0,0,0,0,0,5.82,0,0,19.8,0,0,0,0,0,0,35.989,-98.164,99.99973452,56.6,Kingfisher,Oklahoma
12,4395639,156.13,3986372,Sorghum,SP 30A30 DT,2025,37.72,7.92,,0,0,0,0,35.39,0,0,2.33,0,0,7.92,0,0,0,0,0,0,36.874,-101.067,54.99986142,101.62,Texas,Oklahoma
13,4736765,183.78,3987871,Unknown,,2026,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.65,-99.839,,,Ford,Kansas
14,4677534,155.9,3995196,"Wheat, Hard Winter",KS Western Star,2024,108.16,55.76,,0,0,0,0,91.57,0,0,16.59,0,0,55.76,0,0,0,0,0,0,38.846,-99.091,,53.03,Ellis,Kansas
15,4228223,55.89,4003733,Sorghum,,2021,57.5,19.8,,0,0,0,0,51.67,0,0,5.82,0,0,19.8,0,0,0,0,0,0,38.542,-101.814,,42.4,Greeley,Kansas
16,4196919,76.02,3979173,"Wheat, Hard Winter",,2022,101.04,36,,0,69,0,0,21.24,0,0,10.8,0,0,36,0,0,0,0,0,0,38.788,-97.17,,32,Dickinson,Kansas
17,4372247,159.58,4002461,Unknown,,2025,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.859,-99.63,,,Ford,Kansas
18,4208553,806.76,3990825,"Corn, Grain",,2023,53.02,7.5,0.9,0,32.2,0,0,17.82,0,0,3,0,0,7.5,0,0.9,0,0,0,0,38.794,-101.506,,64,Wallace,Kansas
19,4573154,78.17,4541707,Sorghum,85Y88,2025,5.82,19.8,,0,0,0,0,0,0,0,5.82,0,0,19.8,0,0,0,0,0,0,38.538,-98.28,99.99973452,,Ellsworth,Kansas
20,4168864,32.69,4026779,Sorghum,,2023,6.99,23.75,,0,0,0,0,0,0,0,6.99,0,0,23.75,0,0,0,0,0,0,37.647,-102.205,,15.7,Prowers,Colorado
21,4156033,192.56,4026775,Sorghum,SP 30A30 DT,2024,14.84,49.15,1.42,0,0,0,0.68,0,0,0,14.16,0,0,49.15,0,1.42,0,0,0,0,37.26,-100.498,,65.71,Meade,Kansas
22,4571723,161.61,3995266,Sorghum,DKS38-16,2025,34.23,10.4,,0,0,0,0,32.03,2.2,0,0,10.4,0,0,0,0,0,0,0,0,38.312,-101.076,89.99989489,111.23,Scott,Kansas
