crop_name_en,yield_mean_crop,yield_std_crop
Sorghum,124.78722738179248,470.32734966175684
"Sorghum, Forage",131.1881016328261,117.42939450070273
"Wheat, Hard Winter",71.74161777832622,138.62778367326376
Fallow,67.70888377142856,26.690896387565957
Cotton,206.63007392409617,391.5316222735429
"Corn, Grain",356.22512988056343,960.4232212944538
Soybean,41.2033749706366,12.870735163024232
Unknown,68.61426221588235,35.21232608750525
Sesame,24.200006262,1.0954629543340313
Oats,64.07503411626263,67.42360484210711
"Wheat, Hard Spring Wheat",29.999964959999996,1.0
"Corn, Silage",878.458187677111,312.62592944008304
Sorghum Sudangrass,88.4249778658421,29.704269926513227
Oats (Hay),112.4997793908,74.38965983649813
"Sunflower, Non-oilseed",999.9979957,1.0
"Sunflower, Oilseed",56.640506575,8.086768479800591
"Barley, Winter",47.142802089999996,4.688066833716499
"Peas, Field, Green",19.99997664,1.0
"Rye, Winter",29.99999683,1.0
Cover Crop,44.9998731,1.0
Millet,49.99994161,1.0
"Alfalfa, Seed",99.99973452000002,1.0
"Triticale, Grain",34.99988478,1.0
"Wheat, Soft Winter",79.99992855352941,3.979894651403623e-05
"Corn, Seed",3.57,1.0
