field,crop_name_en,variety_name_en,season,yield_bu_ac,yield_target,totalN_per_ac,totalP_per_ac,totalK_per_ac,state,county,acres,lat,long
100001,"Wheat, Hard Winter",TAM 114,2021,132.5,139.7,124.99,56.23,34.21,Kansas,Ford,26.5,36.915184,-99.971772
100002,Sorghum,Sorghum Hybrid A,2021,155.7,157.0,119.57,44.88,42.41,Kansas,Ford,76.8,37.168837,-99.603615
100003,Sorghum,Sorghum Hybrid A,2021,137.0,130.6,115.95,52.85,48.23,Kansas,Ford,201.5,36.933761,-99.035512
100004,"Wheat, Hard Winter",WB-Grainfield,2021,146.7,148.1,122.92,25.33,49.46,Kansas,Ford,229.9,38.325869,-99.539257
100005,Corn,Corn Pioneer 86P20,2021,170.2,166.2,161.03,48.27,34.6,Kansas,Ford,203.2,36.941903,-100.288458
100006,"Wheat, Hard Winter",WB-Grainfield,2021,123.7,116.9,88.83,63.81,29.67,Kansas,Ford,62.3,37.956459,-99.724892
100007,Sorghum,Sorghum Hybrid A,2021,132.8,130.3,117.18,81.17,32.26,Kansas,Ford,140.2,38.209796,-100.776937
100008,Sorghum,Sorghum Hybrid B,2021,159.8,155.4,221.0,59.29,15.68,Kansas,Ford,124.3,37.698539,-98.953697
100009,"Wheat, Hard Winter",WB-Grainfield,2021,158.2,157.5,177.55,65.34,13.48,Kansas,Ford,57.1,37.858713,-100.103608
100010,Sorghum,Sorghum Hybrid B,2021,134.7,133.9,150.74,47.25,18.73,Kansas,Ford,43.6,36.870703,-100.060438
100011,Corn,Corn DKC63-58,2021,142.6,143.7,134.38,43.13,32.12,Kansas,Ford,272.5,37.256968,-99.489884
100012,Sorghum,Sorghum Hybrid B,2021,109.5,110.0,23.09,56.38,43.78,Kansas,Ford,133.0,37.089439,-98.892219
100013,"Wheat, Hard Winter",WB-Grainfield,2021,147.2,155.4,100.06,44.49,30.16,Kansas,Ford,238.8,38.502625,-98.879314
100014,"Wheat, Hard Winter",WB-Grainfield,2021,156.9,153.0,162.61,54.82,61.28,Kansas,Ford,147.0,37.207656,-99.651815
100015,Sorghum,Sorghum Hybrid A,2021,155.2,158.4,180.1,5,28.89,Kansas,Ford,210.3,38.549012,-100.536721
100016,"Wheat, Hard Winter",WB-Grainfield,2021,151.9,150.7,198.1,33.4,27.84,Kansas,Ford,270.7,38.026205,-100.078475
100017,"Wheat, Hard Winter",WB-Grainfield,2021,147.8,143.5,136.47,59.35,27.39,Kansas,Ford,51.5,36.884887,-99.511573
100018,Sorghum,Sorghum Hybrid A,2021,162.5,158.1,140.97,40.26,37.57,Kansas,Ford,255.4,37.001393,-98.841869
100019,"Wheat, Hard Winter",WB-Grainfield,2021,147.5,145.5,84.65,47.76,53.03,Kansas,Ford,83.2,37.531094,-98.999559
100020,Sorghum,Sorghum Hybrid A,2021,145.0,146.1,118.97,16.54,43.06,Kansas,Ford,35.8,37.016346,-100.496326
100021,Corn,Corn Pioneer 86P20,2021,172.8,175.9,202.76,58.26,39.93,Kansas,Ford,247.4,37.777117,-100.867533
100022,Sorghum,Sorghum Hybrid A,2021,137.4,135.8,98.92,46.0,32.04,Kansas,Ford,63.2,38.622087,-100.316553
100023,Corn,Corn DKC63-58,2021,188.8,183.4,272.42,31.08,15.07,Kansas,Ford,130.0,37.313745,-98.768839
100024,"Wheat, Hard Winter",TAM 114,2021,164.4,159.1,185.81,52.45,8.6,Kansas,Ford,214.5,38.57548,-100.723755
100025,Sorghum,Sorghum Hybrid A,2021,155.2,151.4,115.08,34.55,57.47,Kansas,Ford,174.7,37.879586,-99.537361
100026,Corn,Corn DKC63-58,2021,174.1,177.5,150.24,69.35,37.0,Kansas,Ford,263.0,37.319994,-100.20441
100027,Sorghum,Sorghum Hybrid A,2021,185.6,182.1,279.86,44.48,44.68,Kansas,Ford,139.2,38.523193,-98.962099
100028,Sorghum,Sorghum Hybrid B,2021,159.6,165.3,77.86,52.59,22.97,Kansas,Ford,94.1,37.754987,-99.430701
100029,"Wheat, Hard Winter",WB-Grainfield,2021,192.4,197.0,203.45,64.89,33.33,Kansas,Ford,262.3,37.045351,-100.280136
100030,Sorghum,Sorghum Hybrid B,2021,138.9,145.3,106.57,35.64,5.68,Kansas,Ford,72.9,36.925367,-99.968133
100031,Corn,Corn Pioneer 86P20,2021,178.0,179.4,138.48,22.42,34.27,Kansas,Ford,20.9,37.562605,-100.878727
100032,Sorghum,Sorghum Hybrid A,2021,155.7,152.9,160.15,26.77,40.37,Kansas,Ford,161.9,38.458065,-99.148531
100033,Sorghum,Sorghum Hybrid B,2021,120.9,119.8,130.06,52.45,41.47,Kansas,Ford,74.6,37.929257,-100.559983
100034,Sorghum,Sorghum Hybrid A,2021,155.1,152.7,164.63,14.34,58.59,Kansas,Ford,273.8,38.51855,-99.135083
100035,"Wheat, Hard Winter",TAM 114,2021,135.9,131.7,135.01,37.56,55.23,Kansas,Ford,89.4,38.301515,-99.887333
100036,Corn,Corn Pioneer 86P20,2021,155.6,160.7,105.7,31.38,35.05,Kansas,Ford,78.0,37.417178,-99.779308
100037,"Wheat, Hard Winter",WB-Grainfield,2021,198.9,195.4,219.39,73.14,51.57,Kansas,Ford,264.2,36.955965,-99.94396
100038,"Wheat, Hard Winter",WB-Grainfield,2021,151.9,144.7,152.2,44.22,43.34,Kansas,Ford,133.5,37.578509,-99.756175
100039,"Wheat, Hard Winter",TAM 114,2021,174.3,180.7,190.16,55.06,30.13,Kansas,Ford,114.7,38.117533,-100.239291
100040,Corn,Corn DKC63-58,2021,168.1,166.5,111.37,25.76,43.4,Kansas,Ford,104.8,38.171456,-100.51714
100041,"Wheat, Hard Winter",WB-Grainfield,2021,174.0,176.3,149.23,33.22,42.08,Kansas,Ford,125.6,37.362274,-99.928071
100042,"Wheat, Hard Winter",TAM 114,2021,142.3,139.1,160.96,5.95,34.19,Kansas,Ford,152.9,38.011322,-99.537626
100043,Sorghum,Sorghum Hybrid A,2021,145.8,145.9,134.76,55.53,46.37,Kansas,Ford,194.9,38.364502,-100.739778
100044,Corn,Corn Pioneer 86P20,2021,162.4,169.6,96.09,55.77,48.82,Kansas,Ford,206.8,38.384837,-98.951977
100045,Corn,Corn Pioneer 86P20,2021,174.0,180.4,182.48,39.95,46.08,Kansas,Ford,65.7,37.617277,-99.136883
100046,"Wheat, Hard Winter",WB-Grainfield,2021,150.0,156.1,178.11,31.11,32.82,Kansas,Ford,267.0,37.790957,-98.926142
100047,"Wheat, Hard Winter",WB-Grainfield,2021,169.3,169.5,130.96,14.38,31.85,Kansas,Ford,137.0,37.204567,-99.93228
100048,"Wheat, Hard Winter",WB-Grainfield,2021,140.6,139.1,81.13,74.03,43.0,Kansas,Ford,81.0,37.04033,-100.429304
100049,Corn,Corn DKC63-58,2021,144.2,149.3,114.23,46.22,42.92,Kansas,Ford,106.0,38.547518,-100.85703
100050,"Wheat, Hard Winter",WB-Grainfield,2021,174.3,180.5,165.47,40.26,13.26,Kansas,Ford,144.0,37.772619,-99.283805
100051,"Wheat, Hard Winter",TAM 114,2021,158.9,164.5,122.55,63.26,20.06,Kansas,Ford,146.9,38.125945,-99.050888
100052,Sorghum,Sorghum Hybrid A,2021,134.7,141.4,74.39,32.12,48.8,Kansas,Ford,255.8,37.095285,-100.327656
100053,Corn,Corn Pioneer 86P20,2021,171.8,171.0,81.62,73.07,29.92,Kansas,Ford,138.2,38.336331,-99.865325
100054,"Wheat, Hard Winter",TAM 114,2021,124.7,129.5,91.68,63.76,39.96,Kansas,Ford,280.0,38.554262,-100.461406
100055,Sorghum,Sorghum Hybrid A,2021,133.6,130.0,108.12,46.3,50.82,Kansas,Ford,82.0,37.450901,-99.567036
100056,"Wheat, Hard Winter",TAM 114,2021,143.5,145.3,150.03,56.83,7.66,Kansas,Ford,222.2,38.47525,-100.074325
100057,"Wheat, Hard Winter",TAM 114,2021,155.6,162.1,106.95,24.07,55.32,Kansas,Ford,39.8,37.890782,-100.633679
100058,"Wheat, Hard Winter",TAM 114,2021,139.8,146.2,91.01,51.7,23.22,Kansas,Ford,110.3,38.312429,-100.667814
100059,Corn,Corn DKC63-58,2021,138.4,144.1,62.72,55.27,46.85,Kansas,Ford,203.9,37.772529,-99.836305
