field,crop_name_en,variety_name_en,season,yield_bu_ac,yield_target,totalN_per_ac,totalP_per_ac,totalK_per_ac,state,county,acres,lat,long
100001,Sorghum,Sorghum Hybrid A,2021,107.6,110.7,83.49,17.12,34.75,Kansas,Ford,98.1,38.431868,-100.018434
100002,"Wheat, Hard Winter",TAM 114,2021,121.9,126.2,15,52.85,67.41,Kansas,Ford,259.8,37.410104,-100.157534
100003,"Wheat, Hard Winter",WB-Grainfield,2021,155.6,148.5,160.73,70.59,48.79,Kansas,Ford,202.7,38.218744,-100.470927
100004,Corn,Corn DKC63-58,2021,128.4,131.0,96.06,29.66,29.83,Kansas,Ford,57.9,38.020982,-99.370222
100005,Corn,Corn Pioneer 86P20,2021,145.1,150.5,108.24,44.64,31.47,Kansas,Ford,208.6,37.531314,-100.480351
100006,"Wheat, Hard Winter",TAM 114,2021,150.9,154.3,141.12,31.69,24.48,Kansas,Ford,21.6,37.707667,-98.976246
100007,Sorghum,Sorghum Hybrid A,2021,156.8,165.5,139.57,44.7,53.41,Kansas,Ford,123.3,36.910012,-100.480742
100008,"Wheat, Hard Winter",WB-Grainfield,2021,161.2,160.5,150.92,41.32,42.47,Kansas,Ford,152.7,37.206636,-99.837162
100009,Sorghum,Sorghum Hybrid A,2021,147.8,144.9,117.88,55.44,43.33,Kansas,Ford,170.6,38.60437,-99.45724
100010,Sorghum,Sorghum Hybrid B,2021,155.3,155.7,120.01,43.45,8.52,Kansas,Ford,60.1,37.384215,-100.040348
100011,Corn,Corn Pioneer 86P20,2021,162.1,155.0,102.79,46.2,31.69,Kansas,Ford,122.3,37.846076,-100.114188
100012,Corn,Corn Pioneer 86P20,2021,164.2,158.4,156.63,57.05,31.59,Kansas,Ford,195.6,37.949837,-100.736225
100013,"Wheat, Hard Winter",WB-Grainfield,2021,156.0,160.2,101.24,42.96,48.1,Kansas,Ford,178.5,38.334763,-100.318201
100014,Corn,Corn Pioneer 86P20,2021,161.1,168.4,80.01,34.74,34.46,Kansas,Ford,22.0,37.564594,-99.537599
100015,"Wheat, Hard Winter",WB-Grainfield,2021,149.4,158.1,131.8,47.99,63.57,Kansas,Ford,165.3,38.353316,-100.624412
100016,Sorghum,Sorghum Hybrid B,2021,122.1,117.9,91.05,24.37,29.08,Kansas,Ford,126.3,37.913338,-100.095545
100017,"Wheat, Hard Winter",TAM 114,2021,146.5,143.6,158.75,36.92,49.35,Kansas,Ford,67.0,38.470149,-100.840837
100018,Corn,Corn DKC63-58,2021,147.4,139.5,157.75,24.18,46.55,Kansas,Ford,34.0,37.215955,-99.579836
100019,Corn,Corn DKC63-58,2021,160.1,161.4,126.26,8.66,20.47,Kansas,Ford,59.0,38.205341,-99.617626
100020,Sorghum,Sorghum Hybrid B,2021,167.0,162.7,148.98,58.72,20.92,Kansas,Ford,109.6,37.142766,-100.160222
100021,"Wheat, Hard Winter",WB-Grainfield,2021,134.8,133.9,86.12,49.19,38.22,Kansas,Ford,239.8,37.872559,-100.610549
100022,Corn,Corn DKC63-58,2021,151.4,152.9,119.14,31.15,51.67,Kansas,Ford,244.6,38.046467,-98.940364
100023,Corn,Corn Pioneer 86P20,2021,135.4,137.0,84.72,47.17,55.8,Kansas,Ford,216.3,37.781407,-99.001788
100024,"Wheat, Hard Winter",TAM 114,2021,138.9,135.0,146.26,48.0,50.13,Kansas,Ford,251.5,38.185882,-100.257185
100025,Corn,Corn DKC63-58,2021,161.5,159.8,150.98,71.3,16.59,Kansas,Ford,103.5,37.794656,-99.92133
100026,"Wheat, Hard Winter",TAM 114,2021,151.8,159.9,200.94,50.28,31.48,Kansas,Ford,106.1,37.891134,-100.788477
100027,Corn,Corn Pioneer 86P20,2021,164.5,162.4,119.82,21.94,27.27,Kansas,Ford,171.8,37.15934,-100.346752
100028,"Wheat, Hard Winter",TAM 114,2021,165.5,168.2,130.92,33.66,10.51,Kansas,Ford,158.1,38.078246,-100.480516
100029,Corn,Corn Pioneer 86P20,2021,135.5,142.8,15,16.79,37.41,Kansas,Ford,128.7,37.842079,-99.423302
100030,Sorghum,Sorghum Hybrid A,2021,122.4,121.8,182.74,51.68,20.59,Kansas,Ford,125.3,38.237804,-99.716507
